Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,945667,20435,53264,1071,110834,781569,15100,2857,161,5171621,15624,North America
Spain,223759,3995,22902,378,95708,105149,7705,4786,490,930230,19896,Europe
Italy,195351,2357,26384,415,63120,105847,2102,3231,436,1707743,28245,Europe
France,161488,1660,22614,369,44594,94280,4725,2474,346,463662,7103,Europe
Germany,155782,783,5819,59,109800,40163,2908,1859,69,2072669,24738,Europe
UK,148377,4913,20319,813,-1,127714,1559,2186,299,640792,9439,Europe
Turkey,107773,2861,2706,106,25582,79485,1782,1278,32,868565,10298,Asia
Iran,89328,1134,5650,76,68193,15485,3096,1064,67,410075,4882,Asia
Russia,74588,5966,681,66,6250,67657,2300,511,5,2721500,18649,Europe
Brazil,55224,2229,3762,92,27655,23807,8318,260,18,291922,1373,South America
Belgium,45325,1032,6917,238,10417,27991,934,3911,597,189067,16313,Europe
Canada,45016,1128,2456,154,15469,27091,557,1193,65,669588,17741,North America
Netherlands,37190,655,4409,120,-1,32531,959,2170,257,187000,10913,Europe
Switzerland,28894,217,1593,4,21000,6301,204,3339,184,235252,27182,Europe
India,24942,495,780,-1,5498,18664,-1,18,0.6,579957,420,Asia
Portugal,23392,595,880,26,1277,21235,186,2294,86,330512,32414,Europe
Ecuador,22719,-1,576,-1,1366,20777,127,1288,33,56513,3203,South America
Peru,21648,-1,634,-1,7496,13518,505,657,19,198349,6016,South America
Ireland,18561,377,1063,49,9233,8265,142,3759,215,111584,22598,Europe
Sweden,18177,610,2192,40,1005,14980,547,1800,217,94500,9357,Europe
Saudi Arabia,16299,1197,136,9,2215,13948,115,468,4,200000,5745,Asia
Austria,15148,77,536,6,12103,2509,148,1682,60,221098,24549,Europe
Israel,15148,90,198,4,6159,8791,130,1750,23,302691,34971,Asia
Mexico,12872,1239,1221,152,7149,4502,378,100,9,51297,398,North America
Chile,12858,552,181,7,6746,5931,418,673,9,149212,7806,South America
Japan,12829,117,345,-1,1530,10954,263,101,3,141600,1120,Asia
Singapore,12693,618,12,-1,1002,11679,24,2170,2,121774,20815,Asia
Pakistan,12644,704,268,15,2755,9621,111,57,1,138147,625,Asia
Poland,11273,381,524,30,2126,8623,160,298,14,278994,7372,Europe
S. Korea,10718,10,240,-1,8635,1843,55,209,5,595161,11609,Asia
Romania,10635,218,601,34,2890,7144,235,553,31,126645,6583,Europe
UAE,9813,532,71,7,1887,7855,1,992,7,790000,79875,Asia
Belarus,9590,817,67,4,1573,7950,92,1015,7,139295,14741,Europe
Qatar,9358,833,10,-1,929,8419,72,3248,3,79705,27665,Asia
Indonesia,8607,396,720,31,1042,6845,-1,31,3,67828,248,Asia
Denmark,8445,235,418,15,5669,2358,70,1458,72,136738,23607,Europe
Ukraine,8125,478,201,8,782,7142,104,186,5,83577,1911,Europe
Serbia,7779,296,151,7,1152,6476,91,890,17,59938,6860,Europe
Norway,7493,30,201,2,32,7260,50,1382,37,155125,28614,Europe
Czechia,7333,60,218,4,2453,4662,71,685,20,210705,19676,Europe
Philippines,7294,102,494,17,792,6008,1,67,5,81292,742,Asia
Australia,6695,20,80,1,5372,1243,43,263,3,494257,19383,Australia/Oceania
Dominican Republic,5926,177,273,6,822,4831,136,546,25,21284,1962,North America
Malaysia,5742,51,98,2,3762,1882,36,177,3,126970,3923,Asia
Panama,5338,172,154,8,319,4865,87,1237,36,24304,5633,North America
Bangladesh,4998,309,140,9,113,4745,1,30,0.9,43113,262,Asia
Colombia,4881,-1,225,-1,1003,3653,117,96,4,78078,1534,South America
Finland,4475,80,186,9,2500,1789,60,808,34,77800,14041,Europe
Egypt,4319,227,307,13,1114,2898,-1,42,3,90000,879,Africa
South Africa,4220,-1,79,-1,1473,2668,36,71,1,152390,2569,Africa
Morocco,3897,139,159,1,537,3201,1,106,4,25443,689,Africa
Luxembourg,3711,16,85,-1,3088,538,26,5928,136,38514,61526,Europe
Argentina,3607,-1,179,3,1030,2398,144,80,4,47406,1049,South America
Moldova,3304,194,94,10,825,2385,212,819,23,11763,2916,Europe
Algeria,3256,129,419,4,1479,1358,40,74,10,6500,148,Africa
Thailand,2907,53,51,1,2547,309,61,42,0.7,142589,2043,Asia
Kuwait,2892,278,19,4,656,2217,58,677,4,-1,-1,Asia
Kazakhstan,2601,185,25,-1,646,1930,31,139,1,180502,9613,Asia
Bahrain,2588,70,8,-1,1160,1420,2,1521,5,110379,64869,Asia
Greece,2506,16,130,-1,577,1799,47,240,12,63087,6053,Europe
Hungary,2443,60,262,12,458,1723,61,253,27,60801,6294,Europe
