Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1131015,35992,65748,1892,161563,903704,16481,3417,199,6695756,20229,North America
Spain,242988,3648,24824,281,142450,75714,2500,5197,531,1528833,32699,Europe
Italy,207428,1965,28236,269,78249,100943,1578,3431,467,2053425,33962,Europe
UK,177454,6201,27510,739,-1,149600,1559,2614,405,1023824,15082,Europe
France,167346,168,24594,218,50212,92540,3878,2564,377,1100228,16856,Europe
Germany,164077,1068,6736,113,126900,30441,2189,1958,80,2547052,30400,Europe
Turkey,122392,2188,3258,84,53808,65326,1480,1451,39,1075048,12747,Asia
Russia,114431,7933,1169,96,13220,100042,2300,784,8,3700000,25354,Europe
Iran,95646,1006,6091,63,76318,13237,2899,1139,73,475023,5656,Asia
Brazil,92109,6729,6410,509,38039,47660,8318,433,30,339552,1597,South America
Canada,55061,1825,3391,207,22751,28919,557,1459,90,832222,22050,North America
Belgium,49032,513,7703,109,11892,29437,740,4231,665,253198,21847,Europe
Peru,40459,3483,1124,73,11129,28206,658,1227,34,342498,10388,South America
Netherlands,39791,475,4893,98,-1,34648,735,2322,286,225899,13184,Europe
India,37257,2394,1223,69,10007,26027,-1,27,0.9,902654,654,Asia
Switzerland,29705,119,1754,17,23900,4051,167,3432,203,271500,31371,Europe
Ecuador,26336,1402,1063,163,1913,23360,149,1493,60,71950,4078,South America
Portugal,25351,306,1007,18,1647,22697,154,2486,99,409961,40205,Europe
Saudi Arabia,24097,1344,169,7,3555,20373,117,692,5,326955,9392,Asia
Sweden,21520,428,2653,67,1005,17862,531,2131,263,119500,11833,Europe
Ireland,20833,221,1265,33,13386,6182,123,4219,256,153954,31179,Europe
Mexico,19224,1425,1859,127,11423,5942,378,149,14,81912,635,North America
Pakistan,18092,1619,417,56,4351,13324,111,82,2,182131,825,Asia
Singapore,17101,932,16,1,1268,15817,23,2923,3,143919,24600,Asia
