index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
1,USA,1634790,13888,97184,830,386081,1151525,17689,4942,294,13695951,41404,330790544,North America
2,Russia,326448,8894,3249,150,99825,223374,2300,2237,22,8126626,55689,145927804,Europe
3,Brazil,314769,3848,20267,185,125960,168542,8318,1482,95,735224,3462,212393298,South America
4,Spain,281904,1787,28628,688,196958,56318,1152,6030,612,3037840,64977,46752851,Europe
5,UK,254195,3287,36393,351,-1,-1,1559,3747,536,3231921,47635,67847158,Europe
6,Italy,228658,652,32616,130,136720,59322,595,3781,539,3318778,54882,60471198,Europe
7,France,181826,-1,28289,74,64209,89328,1701,2786,433,1384633,21218,65258007,Europe
8,Germany,179674,653,8347,38,159000,12327,965,2145,100,3595059,42923,83755045,Europe
9,Turkey,154500,952,4276,27,116111,34113,800,1834,51,1767495,20982,84237509,Asia
10,Iran,131652,2311,7300,51,102276,22076,2659,1570,87,763913,9108,83871454,Asia
11,India,124792,6566,3726,142,51820,69246,-1,91,3,2719434,1973,1378492893,Asia
12,Peru,108769,-1,3148,-1,43587,62034,886,3304,96,736500,22373,32919665,South America
13,Canada,82413,1089,6245,93,42467,33701,502,2186,166,1379731,36592,37705478,North America
14,Saudi Arabia,67719,2642,364,13,39003,28352,302,1949,10,667057,19195,34751777,Asia
15,Chile,61857,4276,630,41,25342,35885,986,3239,33,442093,23149,19098031,South America
16,Mexico,59567,2973,6510,420,40657,12400,378,463,51,201838,1567,128781349,North America
17,Belgium,56511,276,9212,26,15123,32176,268,4878,795,757328,65376,11584152,Europe
18,Pakistan,50694,2603,1067,50,15201,34426,111,230,5,445987,2024,220392002,Asia
19,Netherlands,44888,188,5788,13,-1,-1,252,2620,338,313755,18315,17130802,Europe
20,Qatar,40481,1830,19,2,7893,32569,175,14078,7,180642,62822,2875446,Asia
21,Ecuador,35828,522,3056,117,3557,29215,191,2034,174,104330,5924,17612428,South America
22,Belarus,34303,932,190,5,12833,21280,92,3630,20,419004,44341,9449653,Europe
23,Sweden,32809,637,3925,54,4971,23913,265,3251,389,209900,20798,10092371,Europe
24,Switzerland,30707,13,1903,5,27900,904,51,3551,220,364321,42129,8647657,Europe
25,Singapore,30426,614,23,-1,12995,17408,8,5205,4,294414,50368,5845265,Asia
