index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
1,USA,1745803,-1,102107,-1,490130,1153566,17166,5277,309,15875473,47988,330822304,North America
2,Brazil,414661,-1,25697,-1,166647,222317,8318,1952,121,871839,4104,212418030,South America
3,Russia,370680,-1,3968,-1,142208,224504,2300,2540,27,9415992,64525,145928826,Europe
4,Spain,283849,-1,27118,-1,196958,59773,854,6071,580,3556567,76071,46753147,Europe
5,UK,267240,-1,37460,-1,-1,-1,1559,3939,552,3798490,55981,67852992,Europe
6,Italy,231139,-1,33072,-1,147101,50966,505,3822,547,3607251,59654,60469746,Europe
7,France,182913,-1,28596,-1,66584,87733,1501,2803,438,1384633,21217,65260368,Europe
8,Germany,181895,-1,8533,-1,162800,10562,763,2172,102,3952971,47194,83759426,Europe
9,Turkey,159797,-1,4431,-1,122793,32573,723,1897,53,1894650,22488,84252379,Asia
10,India,158086,-1,4534,-1,67749,85803,8944,115,3,3242160,2352,1378715135,Asia
11,Iran,141591,-1,7564,-1,111176,22851,2551,1688,90,856546,10210,83889077,Asia
12,Peru,135905,-1,3983,-1,56169,75753,926,4127,121,905278,27493,32927196,South America
13,Canada,87519,-1,6765,-1,46164,34590,502,2321,179,1530931,40597,37710897,North America
14,Chile,82289,-1,841,-1,33540,47908,1251,4308,44,514523,26937,19100718,South America
15,Saudi Arabia,78541,-1,425,-1,51022,27094,384,2259,12,754268,21699,34760671,Asia
16,Mexico,78023,3463,8597,463,54383,15043,378,606,67,235129,1825,128803542,North America
17,Pakistan,59151,-1,1225,-1,19142,38784,111,268,6,499399,2265,220462432,Asia
18,Belgium,57592,-1,9364,-1,15465,32763,220,4971,808,804890,69477,11584977,Europe
19,Qatar,48947,-1,30,-1,13283,35634,203,17018,10,201180,69945,2876244,Asia
20,Netherlands,45768,-1,5871,-1,-1,-1,188,2672,343,335524,19585,17131422,Europe
21,Belarus,38956,-1,214,-1,15923,22819,92,4123,23,485534,51381,9449602,Europe
22,Bangladesh,38292,-1,544,-1,7925,29823,1,233,3,266456,1619,164533357,Asia
23,Ecuador,38103,-1,3275,-1,18425,16403,219,2163,186,109541,6218,17616823,South America
24,Sweden,35088,-1,4220,-1,4971,25897,264,3476,418,238800,23659,10093401,Europe
25,Singapore,32876,-1,23,-1,17276,15577,7,5624,4,334691,57251,5846018,Asia
26,UAE,31969,-1,255,-1,16371,15343,1,3236,26,2072493,209790,9878903,Asia
27,Portugal,31292,-1,1356,-1,18349,11587,66,3068,133,764093,74916,10199336,Europe
28,Switzerland,30776,-1,1917,-1,28300,559,42,3558,222,380671,44015,8648693,Europe
29,South Africa,25937,-1,552,-1,13451,11934,128,438,9,634996,10720,59236519,Africa
30,Ireland,24803,-1,1631,-1,22089,1083,54,5028,331,325795,66051,4932505,Europe
31,Colombia,24104,-1,803,-1,6111,17190,136,474,16,271118,5334,50831115,South America
32,Indonesia,23851,-1,1473,-1,6057,16321,-1,87,5,278411,1019,273247624,Asia
33,Kuwait,23267,-1,175,-1,7946,15146,193,5456,41,278945,65412,4264401,Asia
34,Poland,22473,-1,1028,-1,10330,11115,160,594,27,824774,21790,37850312,Europe
35,Ukraine,21905,-1,658,-1,7995,13252,259,501,15,312532,7143,43756559,Europe
36,Egypt,19666,-1,816,-1,5205,13645,41,193,8,135000,1322,102141537,Africa
37,Romania,18594,-1,1227,-1,12162,5205,198,966,64,397563,20654,19248782,Europe
38,Israel,16793,-1,281,-1,14570,1942,39,1826,31,552471,60067,9197590,Asia
39,Japan,16651,-1,858,-1,13973,1820,147,132,7,278642,2203,126510637,Asia
40,Austria,16591,-1,645,-1,15228,718,32,1843,72,418706,46514,9001628,Europe
41,Dominican Republic,15723,-1,474,-1,8790,6459,123,1451,44,70972,6549,10837562,North America
42,Philippines,15049,-1,904,-1,3506,10639,81,138,8,315363,2882,109439758,Asia
43,Argentina,13933,-1,500,-1,4349,9084,171,309,11,140218,3105,45156510,South America
44,Afghanistan,12456,-1,227,-1,1138,11091,19,321,6,33864,872,38838960,Asia
45,Panama,11728,-1,315,-1,7379,4034,72,2722,73,61895,14367,4308096,North America
46,Denmark,11480,-1,565,-1,10106,809,22,1983,98,576061,99487,5790332,Europe
47,Serbia,11275,-1,240,-1,6277,4758,10,1290,27,229485,26255,8740460,Europe
48,S. Korea,11265,-1,269,-1,10295,701,15,220,5,852876,16637,51265201,Asia
49,Bahrain,9692,-1,15,-1,5152,4525,10,5718,9,291127,171743,1695130,Asia
50,Kazakhstan,9304,-1,37,-1,4768,4499,58,496,2,710352,37875,18755108,Asia
51,Czechia,9086,-1,317,-1,6370,2399,18,849,30,417422,38985,10707177,Europe
52,Algeria,8857,-1,623,-1,5129,3105,32,202,14,-1,-1,43772270,Africa
53,Nigeria,8733,-1,254,-1,2501,5978,7,42,1,44458,216,205612176,Africa
54,Norway,8401,-1,235,-1,7727,439,11,1551,43,239864,44278,5417258,Europe
55,Oman,8373,-1,39,-1,2177,6157,31,1644,8,72000,14137,5093172,Asia
56,Armenia,7774,-1,98,-1,3255,4421,10,2624,33,53678,18118,2962740,Asia
57,Malaysia,7619,-1,115,-1,6083,1421,8,236,4,519944,16084,32325930,Asia
58,Morocco,7601,-1,202,-1,4978,2421,1,206,5,170713,4630,36868513,Africa
59,Moldova,7537,-1,274,-1,3884,3379,256,1868,68,40565,10054,4034794,Europe
60,Ghana,7303,-1,34,-1,2412,4857,16,236,1,205890,6640,31007405,Africa
61,Australia,7139,-1,103,-1,6566,470,6,280,4,1338321,52542,25471489,Australia/Oceania
62,Bolivia,7136,-1,274,-1,677,6185,3,612,24,22294,1912,11657564,South America
63,Finland,6692,-1,313,-1,5100,1279,11,1208,56,173313,31284,5539940,Europe
64,Cameroon,5436,-1,175,-1,1996,3265,28,205,7,-1,-1,26477611,Africa
65,Iraq,5135,-1,175,-1,2904,2056,41,128,4,206381,5143,40130509,Asia
66,Azerbaijan,4568,-1,54,-1,2897,1617,42,451,5,280663,27705,10130533,Asia
