index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3,
1,USA,1876910,17587,107908,983,622034,6618,1146968,16949,5673,326,18492863,55895,330848770,North America,176,3066,18,
2,Brazil,539045,9640,30486,440,211080,-1,297479,8318,2537,144,930013,4378,212438640,South America,394,6968,228,
3,Russia,423741,8863,5037,182,186985,11108,231719,2300,2904,35,11151622,76418,145929678,Europe,344,28972,13,
4,Spain,287012,294,27127,-1,-1,-1,-1,617,6139,580,4063843,86921,46753394,Europe,163,1724,12,
5,UK,277985,1653,39369,324,-1,-1,-1,1559,4097,580,4615146,68012,67857854,Europe,244,1724,15,
6,Italy,233515,318,33530,55,160092,1737,39893,408,3862,555,3962292,65527,60468537,Europe,259,1803,15,
7,India,207183,8813,5829,221,100285,4531,101069,8944,150,4,3966075,2876,1378900337,Asia,6655,236559,348,
8,France,189220,-1,28940,107,68812,372,91468,1253,2899,443,1384633,21216,65262335,Europe,345,2255,47,
9,Germany,184064,299,8649,31,166400,500,9015,689,2197,103,3952971,47192,83763076,Europe,455,9685,21,
10,Peru,170039,-1,4634,-1,68507,-1,96898,988,5163,141,1076659,32692,32933472,South America,194,7107,31,
11,Turkey,165555,786,4585,22,129921,974,31049,633,1965,54,2103044,24958,84264770,Asia,509,18378,40,
12,Iran,157562,3117,7942,64,123077,2073,26543,2565,1878,95,975936,11632,83903764,Asia,533,10565,86,
13,Chile,108686,3527,1188,75,44946,-1,62552,1446,5689,62,612772,32077,19102957,South America,176,16080,31,
14,Mexico,93435,2771,10167,237,67491,3165,15777,378,725,79,282089,2190,128822037,North America,1379,12671,457,
15,Canada,92390,685,7395,69,50271,545,34724,1648,2450,196,1695918,44966,37715413,North America,408,5100,22,
16,Saudi Arabia,89011,1869,549,24,65790,1484,22672,1264,2560,16,853987,24562,34768083,Asia,391,63330,41,
17,Pakistan,76398,3938,1621,78,27110,1027,47667,111,346,7,577974,2621,220521124,Asia,2886,136040,382,
18,Qatar,60259,1826,43,3,36036,2599,24180,239,21461,15,231098,82306,2807805,Asia,47,65298,12,
19,Belgium,58615,98,9505,19,15934,15,33176,166,5059,820,884386,76335,11585664,Europe,198,1219,13,
20,Bangladesh,52445,2911,709,37,11120,523,40616,1,319,4,333073,2024,164555754,Asia,3138,232096,494,
21,Netherlands,46647,102,5967,5,-1,-1,-1,154,2723,348,359833,21004,17131938,Europe,367,2871,48,
22,Belarus,44255,852,243,3,19195,419,24817,92,4683,26,562945,59574,9449559,Europe,214,38887,17,
23,Ecuador,40414,420,3438,44,20019,196,16957,252,2294,195,118754,6740,17620485,South America,436,5125,148,
24,Sweden,38589,775,4468,65,-1,-1,-1,283,3823,443,275500,27293,10094260,Europe,262,2259,37,
25,Singapore,35836,544,24,-1,23175,709,12637,6,6129,4,334691,57245,5846646,Asia,163,243610,17,
26,South Africa,35812,1455,755,50,18313,1022,16744,208,604,13,761534,12854,59246734,Africa,1654,78472,78,
27,UAE,35788,596,269,3,18726,388,16793,1,3622,27,2145493,217143,9880535,Asia,276,36731,5,
28,Portugal,32895,195,1436,12,19869,317,11590,58,3225,141,847181,83066,10198931,Europe,310,7102,12,
29,Switzerland,30874,3,1920,-1,28500,-1,454,29,3569,222,400793,46337,8649556,Europe,280,4505,22,
30,Colombia,30493,-1,969,-1,9661,-1,19863,136,600,19,341142,6710,50838520,South America,1667,52465,149,
31,Kuwait,28649,887,226,6,14281,1382,14142,187,6717,53,290013,67994,4265264,Asia,149,18873,15,
32,Indonesia,27549,609,1663,22,7935,298,17951,-1,101,6,342464,1253,273287113,Asia,9920,164334,798,
33,Egypt,27536,1152,1052,47,6827,380,19657,41,270,10,135000,1321,102167945,Africa,3710,97118,757,
34,Ireland,25066,4,1658,8,22089,-1,1319,36,5081,336,348416,70626,4933258,Europe,197,2975,14,
35,Poland,24395,230,1092,18,11726,277,11577,160,645,29,945955,24992,37849748,Europe,1552,34661,40,
36,Ukraine,24340,328,727,9,10078,388,13535,286,556,17,371668,8495,43752988,Europe,1798,60183,118,
37,Romania,19517,119,1288,12,13526,100,4703,166,1014,67,448813,23319,19247039,Europe,986,14943,43,
38,Philippines,18997,359,966,6,4063,84,13968,78,174,9,366269,3346,109459685,Asia,5762,113312,299,
39,Dominican Republic,17752,180,515,13,11075,182,6162,110,1638,48,84638,7809,10839047,North America,611,21047,128,
40,Argentina,17415,-1,560,4,5709,188,11146,274,386,12,164084,3633,45162170,South America,2593,80647,275,
41,Israel,17285,116,290,5,14940,62,2055,31,1879,32,582445,63326,9197590,Asia,532,31716,16,
42,Japan,16884,-1,892,-1,14502,-1,1490,115,133,7,292569,2313,126505371,Asia,7493,141822,432,
43,Austria,16759,26,669,1,15629,33,461,26,1862,74,456378,50696,9002328,Europe,537,13456,20,
44,Afghanistan,16492,742,270,5,1450,22,14772,19,424,7,40950,1054,38850966,Asia,2356,143892,949,
45,Panama,13837,-1,344,-1,9514,-1,3979,78,3211,80,67730,15718,4309025,North America,311,12526,64,
46,Oman,12799,576,59,9,2812,130,9928,31,2512,12,100181,19663,5094952,Asia,398,86355,51,
47,Bahrain,12311,440,19,-1,7407,337,4885,10,7259,11,330733,195014,1695942,Asia,138,89260,5,
48,Denmark,11734,35,580,4,10489,77,665,21,2026,100,646086,111575,5790610,Europe,493,9984,9,
49,Kazakhstan,11571,263,44,3,5941,354,5586,62,617,2,828377,44161,18758176,Asia,1621,426322,23,
50,S. Korea,11541,38,272,1,10446,24,823,15,225,5,939851,18333,51265802,Asia,4442,188477,55,
